"ANO_DOC","MES_DOC","GRUPO_ENTIDAD","GRUPO_ENTIDAD_NOMBRE","SEC_EJEC","EJECUTORA","EJECUTORA_NOMBRE","DEPARTAMENTO_EJECUTORA","DEPARTAMENTO_EJECUTORA_NOMBRE","PROVINCIA_EJECUTORA","PROVINCIA_EJECUTORA_NOMBRE","DISTRITO_EJECUTORA","DISTRITO_EJECUTORA_NOMBRE","FUENTE_FINANCIAMIENTO","FUENTE_FINANCIAMIENTO_NOMBRE","RUBRO","RUBRO_NOMBRE","TIPO_RECURSO","TIPO_RECURSO_NOMBRE","GENERICA","GENERICA_NOMBRE","SUBGENERICA","SUBGENERICA_NOMBRE","SUBGENERICA_DET","SUBGENERICA_DET_NOMBRE","ESPECIFICA","ESPECIFICA_NOMBRE","ESPECIFICA_DET","ESPECIFICA_DET_NOMBRE","MONTO_PIA","MONTO_PIM","MONTO_RECAUDADO"
"2025","11","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","3","VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS","3","VENTA DE SERVICIOS","9","OTROS INGRESOS POR PRESTACION DE SERVICIOS","1","SERVICIOS POR ADMINISTRACION Y RECAUDACION","99","OTROS SERVICIOS POR ADMINISTRACION Y RECAUDACION","0","0","138197.18"
"2025","3","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","1","IMPUESTOS Y CONTRIBUCIONES OBLIGATORIAS","4","IMPUESTO SOBRE EL COMERCIO Y LAS TRANSACCIONES INTERNACIONALES","1","IMPUESTOS A LAS IMPORTACIONES","1","DERECHOS DE ADUANAS Y OTROS DERECHOS DE IMPORTACION","4","ARANCEL ESPECIAL POR INGRESO DE BIENES PROVENIENTES DE DEPOSITOS FRANCOS","0","0","79141.86"
"2025","3","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","3","VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS","3","VENTA DE SERVICIOS","9","OTROS INGRESOS POR PRESTACION DE SERVICIOS","1","SERVICIOS POR ADMINISTRACION Y RECAUDACION","99","OTROS SERVICIOS POR ADMINISTRACION Y RECAUDACION","0","0","163609.56"
"2025","12","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","7","SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","1","INTERESES","1","INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES","0","0","2151.19"
"2025","4","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","7","SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","1","INTERESES","1","INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES","0","0","2072.37"
"2025","9","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","1","IMPUESTOS Y CONTRIBUCIONES OBLIGATORIAS","4","IMPUESTO SOBRE EL COMERCIO Y LAS TRANSACCIONES INTERNACIONALES","1","IMPUESTOS A LAS IMPORTACIONES","1","DERECHOS DE ADUANAS Y OTROS DERECHOS DE IMPORTACION","1","DERECHOS AD VALOREM","0","0","0"
"2025","3","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","1","IMPUESTOS Y CONTRIBUCIONES OBLIGATORIAS","4","IMPUESTO SOBRE EL COMERCIO Y LAS TRANSACCIONES INTERNACIONALES","1","IMPUESTOS A LAS IMPORTACIONES","1","DERECHOS DE ADUANAS Y OTROS DERECHOS DE IMPORTACION","1","DERECHOS AD VALOREM","0","0","0"
"2025","7","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","4","OTROS INTERESES","99","OTROS INTERESES","0","0","5292.08"
"2025","12","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","3","VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS","3","VENTA DE SERVICIOS","9","OTROS INGRESOS POR PRESTACION DE SERVICIOS","1","SERVICIOS POR ADMINISTRACION Y RECAUDACION","99","OTROS SERVICIOS POR ADMINISTRACION Y RECAUDACION","0","0","123273.69"
"2025","4","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","1","IMPUESTOS Y CONTRIBUCIONES OBLIGATORIAS","4","IMPUESTO SOBRE EL COMERCIO Y LAS TRANSACCIONES INTERNACIONALES","1","IMPUESTOS A LAS IMPORTACIONES","1","DERECHOS DE ADUANAS Y OTROS DERECHOS DE IMPORTACION","4","ARANCEL ESPECIAL POR INGRESO DE BIENES PROVENIENTES DE DEPOSITOS FRANCOS","0","0","92127.82"
"2025","8","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","4","OTROS INTERESES","99","OTROS INTERESES","0","0","103223.38"
"2025","4","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","5","INGRESOS DIVERSOS","1","INGRESOS DIVERSOS","4","OTROS INGRESOS DIVERSOS","1","INDEMNIZACIONES DE SEGUROS","0","0","0"
"2025","8","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","1","INTERESES","1","INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES","0","0","1477.31"
"2025","6","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","7","SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","1","INTERESES","1","INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES","0","0","2024.35"
"2025","10","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","7","SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS","5","OTROS INGRESOS","2","MULTAS Y SANCIONES NO TRIBUTARIAS","1","MULTAS Y SANCIONES NO TRIBUTARIAS","6","OTRAS MULTAS","1","INFRACCIONES DE COMERCIALIZACION","0","0","0"
"2025","9","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","2","RENTAS DE LA PROPIEDAD REAL","2","DERECHOS E INGRESO POR CONCESIONES","2","DERECHOS DE SERVIDUMBRE","0","0","51659.93"
"2025","5","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","5","INGRESOS DIVERSOS","1","INGRESOS DIVERSOS","4","OTROS INGRESOS DIVERSOS","1","INDEMNIZACIONES DE SEGUROS","0","0","0"
